"arquivo","modelo","solver","status_execucao","status","status_primal","status_dual","raw_status","objetivo","tempo_solver_s","tempo_total_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","max_iter","tol","timeout_s","deu_timeout","erro_include","erro_solver","madnlp_iterations","madnlp_objective_final_log","madnlp_dual_infeasibility","madnlp_constraint_violation","madnlp_variable_bound_violation","madnlp_complementarity","madnlp_overall_nlp_error","madnlp_total_seconds","madnlp_jacobian_nnz","madnlp_hessian_nnz","log_madnlp"
"jump/corkscrw_jump.jl","corkscrw_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","98.09600217823568","38.91896295547485","48.38902497291565","45006","35000","75009","3000","1.0e-7","300.0","false","","","287","9.8096002178235679e+01","1.2745374143892216e-12","4.6678262779348278e-08","","1.0233434460366036e-08","4.6678262779348278e-08","","105000","30000","logs_madnlp_simples/corkscrw_jump_madnlp.log"
"jump/dirichlet_jump.jl","dirichlet_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","SystemError: opening file ""/home/rezendegdm/Documentos/otmization/jump/dirichlet_jump.jl"": Arquivo ou diretório inexistente | Stacktrace: |  [1] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [2] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [3] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [4] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [5] _start() |    @ Base ./client.jl:550","","","","","","","","","","","","logs_madnlp_simples/dirichlet_jump_madnlp.log"
"jump/dirichlet20_jump.jl","dirichlet20_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","SystemError: opening file ""/home/rezendegdm/Documentos/otmization/jump/dirichlet20_jump.jl"": Arquivo ou diretório inexistente | Stacktrace: |  [1] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [2] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [3] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [4] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [5] _start() |    @ Base ./client.jl:550","","","","","","","","","","","","logs_madnlp_simples/dirichlet20_jump_madnlp.log"
"jump/dirichlet20_jump.jl","dirichlet20_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","SystemError: opening file ""/home/rezendegdm/Documentos/otmization/jump/dirichlet20_jump.jl"": Arquivo ou diretório inexistente | Stacktrace: |  [1] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [2] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [3] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [4] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [5] _start() |    @ Base ./client.jl:550","","","","","","","","","","","","logs_madnlp_simples/dirichlet20_jump_madnlp.log"
"jump/dirichlet120_jump.jl","dirichlet120_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","LoadError: Arquivo dirichlet120.mod não encontrado. | Stacktrace: |  [1] error(s::String) |    @ Base ./error.jl:44 |  [2] top-level scope |    @ ~/Documentos/otmization/jump/dirichlet120_jump.jl:180 |  [3] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [4] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [5] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [6] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [7] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump/dirichlet120_jump.jl:179","","","","","","","","","","","","logs_madnlp_simples/dirichlet120_jump_madnlp.log"
"jump/dtoc1nd_jump.jl","dtoc1nd_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","136.45580216202552","22.34461283683777","33.905866861343384","5985","3725","3750","3000","1.0e-7","300.0","false","","","8","1.3645580216202552e+02","5.6911725332398078e-09","7.1829733827577513e-10","","0.0000000000000000e+00","5.6911725332398078e-09","","152725","1551860","logs_madnlp_simples/dtoc1nd_jump_madnlp.log"
"jump/dtoc2_jump.jl","dtoc2_jump","MadNLP","OK","OPTIMIZE_NOT_CALLED","NO_SOLUTION","NO_SOLUTION","optimize not called","NaN","849.7248539924622","849.7248539924622","64980","38970","39000","3000","1.0e-7","300.0","false","","","","","","","","","","","857340","1909560","logs_madnlp_simples/dtoc2_jump_madnlp.log"
"jump/elec_400_jump.jl","elec_400_jump","MadNLP","OK","OPTIMIZE_NOT_CALLED","NO_SOLUTION","NO_SOLUTION","optimize not called","NaN","312.6739799976349","312.6739799976349","1200","400","400","3000","1.0e-7","300.0","false","","","","","","","","","","","1200","721800","logs_madnlp_simples/elec_400_jump_madnlp.log"
"jump/nql180_jump.jl","nql180_jump","MadNLP","ERRO_INCLUDE","","","","","NaN","NaN","NaN","","","","3000","1.0e-7","300.0","false","LoadError: Arquivo .mod não encontrado: nql180.mod | Stacktrace: |  [1] error(s::String) |    @ Base ./error.jl:44 |  [2] build_nql180_model(mod_path::String) |    @ Main ~/Documentos/otmization/jump/nql180_jump.jl:43 |  [3] top-level scope |    @ ~/Documentos/otmization/jump/nql180_jump.jl:284 |  [4] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [5] top-level scope |    @ ~/Documentos/otmization/rodar_um_madnlp.jl:271 |  [6] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [7] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [8] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump/nql180_jump.jl:284","","","","","","","","","","","","logs_madnlp_simples/nql180_jump_madnlp.log"
"jump/gasoil_3200_jump.jl","gasoil_3200_jump","MadNLP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","0.005236595833915959","707.0445599555969","714.5219309329987","32003","32000","32003","3000","1.0e-7","300.0","false","","","796","5.2365958339159590e-03","1.1369939793788707e-13","2.1465051958102777e-12","","9.0914378365020303e-09","9.0914378365020303e-09","","281590","755830","logs_madnlp_simples/gasoil_3200_jump_madnlp.log"
