"arquivo","modelo","status","status_primal","status_dual","raw_status","objetivo","tempo_jump_s","tempo_total_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","madnlp_iterations","madnlp_objective_final_log","madnlp_dual_infeasibility","madnlp_constraint_violation","madnlp_variable_bound_violation","madnlp_complementarity","madnlp_overall_nlp_error","madnlp_total_seconds","madnlp_jacobian_nnz","madnlp_hessian_nnz","erro_solver","log_madnlp"
"jump_2/prolog_jump_2.jl","prolog_jump_2","ITERATION_LIMIT","UNKNOWN_RESULT_STATUS","UNKNOWN_RESULT_STATUS","Maximum Number of Iterations Exceeded.","-2.9668338590851995e23","8.850332021713257","14.607614040374756","1","0","0","3000","-2.9668338590851995e+23","1.0000000000000000e+00","0.0000000000000000e+00","","0.0000000000000000e+00","1.0000000000000000e+00","","0","0","","logs_madnlp_simples_2/prolog_jump_2_madnlp_2.log"
"jump_2/qp3_jump.jl","qp3_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","0.0008096709452635976","8.933452129364014","14.81353211402893","101","53","103","12","8.0967094526359761e-04","9.3147711766050634e-14","7.4222165432724467e-08","","5.3356339557230210e-08","7.4222165432724467e-08","","2748","150","","logs_madnlp_simples_2/qp3_jump_madnlp_2.log"
"jump_2/qp4_jump.jl","qp4_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","0.0008096414500639798","8.73345398902893","14.653522968292236","80","32","82","13","8.0964145006397984e-04","9.0923796269848367e-14","5.7331136021519444e-08","","4.4679863219668657e-08","5.7331136021519444e-08","","1581","29","","logs_madnlp_simples_2/qp4_jump_madnlp_2.log"
"jump_2/qp5_jump.jl","qp5_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","0.4314547606530702","8.746058940887451","14.657085180282593","109","32","140","19","4.3145476065307020e-01","9.3924867883288243e-14","4.5407531973714266e-14","","9.2881373307324954e-09","9.2881373307324954e-09","","1639","0","","logs_madnlp_simples_2/qp5_jump_madnlp_2.log"
"jump_2/ramsey_jump.jl","ramsey_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-2.4874686464986975","9.382560968399048","15.379650115966797","34","23","66","14","-2.4874686464986975e+00","3.6350245650355517e-08","2.1979020825568796e-08","","5.7397750368830116e-08","5.7397750368830116e-08","","77","22","","logs_madnlp_simples_2/ramsey_jump_madnlp_2.log"
"jump_2/rbrock_jump.jl","rbrock_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-3.3535541129687436e-14","8.963613033294678","14.89043402671814","3","1","5","23","-3.3535541129687436e-14","1.3411399698896010e-11","1.5554899608915052e-14","","9.0909931348905672e-09","9.0909931348905672e-09","","3","3","","logs_madnlp_simples_2/rbrock_jump_madnlp_2.log"
"jump_2/srcpm_jump.jl","srcpm_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","2109.781826001058","4.527329921722412","8.189105033874512","40","28","75","23","2.1097818260010581e+03","9.1604033061328380e-11","6.0572347138077021e-10","","1.0104852446351573e-08","1.0104852446351573e-08","","163","5","","logs_madnlp_simples_2/srcpm_jump_madnlp_2.log"
"jump_2/turkey_jump.jl","turkey_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-29330.158064614967","4.495349884033203","7.914695978164673","519","288","763","134","-2.9330158064614967e+04","9.9475983006414026e-14","1.4915713109076023e-10","","1.3555544214817582e-08","1.3555544214817582e-08","","4646","55","","logs_madnlp_simples_2/turkey_jump_madnlp_2.log"
"jump_2/wall_jump.jl","wall_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","1.0000046575934247","4.574766159057617","8.001465082168579","6","6","6","2","1.0000046575934247e+00","2.0933572258442779e-17","1.8619150665699635e-10","","0.0000000000000000e+00","1.8619150665699635e-10","","20","18","","logs_madnlp_simples_2/wall_jump_madnlp_2.log"
"jump_2/water_jump.jl","water_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","1031.1758255991285","4.5481109619140625","8.04924488067627","42","26","66","66","1.0311758255991285e+03","5.2750692702829838e-11","9.0594198809412774e-13","","9.0913586068559396e-09","9.0913586068559396e-09","","113","62","","logs_madnlp_simples_2/water_jump_madnlp_2.log"
